Query sets,tpc Execution Time (s),tpc_np Execution Time (s)
qset_1.sql,631.484776608,470.224016536
qset_2.sql,418.895882513,289.878480869
qset_3.sql,609.664015159,434.518115490
qset_4.sql,340.229087333,226.457070850
qset_5.sql,330.350642045,222.979100351
qset_6.sql,678.233122999,500.174411484
qset_7.sql,412.810586070,287.820611008
qset_8.sql,766.654902567,544.211782745
qset_9.sql,402.579504872,281.802055341
qset_10.sql,652.724246261,474.289743771
qset_11.sql,421.973487120,298.399783135
qset_12.sql,285.794952601,195.733934376
qset_13.sql,390.491975296,281.685241364
qset_14.sql,478.846542102,348.925756036
qset_15.sql,661.357164610,485.558369426
qset_16.sql,505.985196894,342.528854812
qset_17.sql,504.225656338,336.061894996
qset_18.sql,323.658410223,209.011331402
qset_19.sql,412.429813913,285.522505716
qset_20.sql,478.895843757,329.610428849
qset_21.sql,525.348843857,360.369736364
qset_22.sql,652.597683046,450.501864697
qset_23.sql,607.314556349,424.428054769
qset_24.sql,732.371614647,497.254357234
qset_25.sql,620.947868138,415.366657491
qset_26.sql,519.586861411,358.578865921
qset_27.sql,577.641871099,400.103660619
qset_28.sql,623.735131636,432.465428383
qset_29.sql,873.323911873,589.226635474
qset_30.sql,519.519901336,344.295825246
qset_31.sql,691.717645967,479.790643214
qset_32.sql,607.553484613,408.205943179
qset_33.sql,472.625594560,317.173683246
qset_34.sql,428.290316786,293.250194189
qset_35.sql,603.994084457,422.952744419
qset_36.sql,582.684709653,398.440551204
qset_37.sql,726.501680376,492.546578583
qset_38.sql,601.282177513,404.323565461
qset_39.sql,465.125140862,315.521096205
qset_40.sql,768.843254472,530.826122302
